address,area,city,state,country,hotel_star_rating,pageurl,property_name,property_type,site_review_rating
Badrinath Road Tapovan Rishikesh,Tapovan,Rishikesh,Uttarakhand,India,2,http://www.goibibo.com/hotels/detail/Rishikesh/hn/1546081981995124445/8170472867171926808/na/hq/,Bhagirathi Palace,Hotel,3.1
"Behind sardar petrol pump, kampoo, lashkar gwalior",Lashkar,Gwalior,Madhya Pradesh,India,0,http://www.goibibo.com/hotels/detail/Gwalior/hn/8796441741742604098/7870938642581757264/na/hq/,Arihant Guest House.,Hotel,2.7
"2/372, Vishal Khand, Gomti Nagar Lucknow, Lucknow - 226001, Near CMS",Gomti Nagar,Lucknow,Uttar Pradesh,India,0,http://www.goibibo.com/hotels/detail/Lucknow/hn/9114123290289445387/4547156026166663985/na/hq/,Avadh INN,BnB,3.8
"No. 8 Kumaranasan Nagar, Kadavanthra, Kochi",Ernakulam,Ernakulam,Kerala,India,0,http://www.goibibo.com/hotels/detail/Ernakulam/hn/8210666562286566619/7796352869752983126/na/hq/,Athithi Homes,Homestay,
"S.N Junction, Punnamada, Alappuzha",Finishing Point Road,Alleppey,Kerala,India,0,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/8743035717691000047/na/hq/,Bens Houseboats 4 Bed Room A/c DLX (2),Houseboat,
"Small Vagator Beach, Vagator Bardez Goa",Anjuna Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/8588187973958777764/na/hq/,Antares Beach Resort,Resort,3.9
"MI Road, Opp Om Towers, next to ICICI Bank ATM",M I Road,Jaipur,Rajasthan,India,2,http://www.goibibo.com/hotels/detail/Jaipur/hn/4278754392716898526/3509411873553104179/na/hq/,Backpacker Panda Jaipur,Hostel,4.4
"A-23, Sector 51, Near Community Center, Noida",Sector 51,Noida,Uttar Pradesh,India,0,http://www.goibibo.com/hotels/detail/Noida/hn/2311763083662248959/724520463343746929/na/hq/,Avasa Hotel,Hotel,1.3
"Village Bhimlat,Dist.Balaghat",Mukki Village,Kanha,Madhya Pradesh,India,1,http://www.goibibo.com/hotels/detail/Kanha/hn/1858119261619362733/3604537201193669832/na/hq/,Bagh Tola Kanha,Resort,
"Chithirapuram P.O Thattathimukku, Anachal, Munnar  Munnar, Chithirapuram, Munnar 685565, India",Chithirapuram,Munnar,Kerala,India,1,http://www.goibibo.com/hotels/detail/Munnar/hn/1780299204263085384/3276991485641953709/na/hq/,ANNAS HOMESTAY,Homestay,
"near hanuman temple,old foot bridge",Others,Alleppey,Kerala,India,0,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/3612603166449901209/na/hq/,Antonys Eco Houseboat,Houseboat,
"Udaipur Jhadol Road,  Near Nai Gaon, Udaipur",Lake Pichola Area,Udaipur,Rajasthan,India,3,http://www.goibibo.com/hotels/detail/Udaipur/hn/3369724356477798574/1724689910021047507/na/hq/,Araliayas Resort,Resort,4.2
"139/C1, Next to G R Tech Park, Pattandur  Agrahara ITPL Main Road, Whitefield,   Bangalore-66",Whitefield,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/3310720088006253032/na/hq/,Bhagini Residency,Hotel,
"Opp. Brijkishore Homeopathic College,Near Allahabad Bank,Devkali Road,Faizabad",Devkali Road,Faizabad,Uttar Pradesh,India,1,http://www.goibibo.com/hotels/detail/Faizabad/hn/512896533605776442/4200883082070833687/na/hq/,AP House,Hotel,
"Nandi Hills, hegedahalli village Banglore",Others,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/6532519936219677835/na/hq/,Aura Foothills,Homestay,
"Ayur County Mountain Resorts, Chinnakanal P.O, Munnar",Chinnakanal,Munnar,Kerala,India,3,http://www.goibibo.com/hotels/detail/Munnar/hn/1780299204263085384/9016664000975820304/na/hq/,Ayur County,Resort,3.7
"Anjuna German Bakery Road , next to German bakery and curlies shack,Anjuna, Goa",Anjuna Area,Goa,Goa,India,3,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/7577307276018112734/na/hq/,Bay Luxe,Hotel,4
"689/27 Opposite chand health club,model town",Sector-14,Rohtak,Haryana,India,0,http://www.goibibo.com/hotels/detail/Rohtak/hn/2182253611357095182/4333656238685458559/na/hq/,Basera Guest House,Guest House,
"Mandarmani, East Medinipur",Purba Medinipur,Mandarmani,West Bengal,India,2,http://www.goibibo.com/hotels/detail/Mandarmani/hn/1111111239243616096/4696128476560822120/na/hq/,Arya Beach Resort Mandarmani,Resort,3.5
"Awas Rd., Near Awas Beach, Alibaug, Maharasthra 402201",Awas,Raigad,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Raigad/hn/3780529626681451081/4296984669157050649/na/hq/,Antiguo Alibaug,Bungalow,
"N.H.Road, Central Munnar",Main Town,Munnar,Kerala,India,3,http://www.goibibo.com/hotels/detail/Munnar/hn/1780299204263085384/4775715382874004746/na/hq/,Bellmount Resorts,Resort,4.2
"Bagmane Estate, Mallandor P.O 15",Mallandur,Chikmagalur,Karnataka,India,1,http://www.goibibo.com/hotels/detail/Chikmagalur/hn/4801527334652294087/7966812670456926637/na/hq/,Bean Stalk Bagmane Homestay,Homestay,0
"4D, 4th /Floor, 12B Russel Street",Others,Kolkata,West Bengal,India,0,http://www.goibibo.com/hotels/detail/Kolkata/hn/2066465017672827882/3117097135791874621/na/hq/,"Banayan Appartment ,Russell Street",Service Apartment,
"Baragarh Villa Baragarh Estate, Village Gurdorh, PO Larenkelo Distt. Kullu Himachal Pradesh","Aleo, Left Bank",Manali,Himachal Pradesh,India,3,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/1898815078021667904/na/hq/,Baragarh Villa,Resort,
"VILL DAWADA, NH 21 MANALI  175131",Others,Manali,Himachal Pradesh,India,0,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/3504224672265151551/na/hq/,BAZIRA COTTAGES,Hotel,
"near helipad,cliff beach,varkala",Kurakkanni Cliff,Varkala,Kerala,India,0,http://www.goibibo.com/hotels/detail/Varkala/hn/4947247049944326597/3981579951673210984/na/hq/,Ayushi Ayurvedi Retreat,Guest House,
palath house po nattika beach Thrissur kerala 680566,nattika beach,Thrissur,Kerala,India,0,http://www.goibibo.com/hotels/detail/Thrissur/hn/9163162457646324921/1451441753395665318/na/hq/,AVANTHIKA HOMESTAY,Homestay,
"Anna Salai, Near. Bus Stand",Attuvampatti,Kodaikanal,Tamil Nadu,India,0,http://www.goibibo.com/hotels/detail/Kodaikanal/hn/444516582436447369/9068186247319823805/na/hq/,ASTORIA VEG,Hotel,
"Kolamb village, Malvan",Kolamb Village,Malwan,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Malwan/hn/9026350779881719747/2337869992550159719/na/hq/,Arvind Niwas,Homestay,
"No.4, E-Road, (Near Omni Bus Stand) Koyambedu",Koyambedu,Chennai,Tamil Nadu,India,2,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/285042846450181057/na/hq/,Balaji Residency,Hotel,3.4
"Near Nehru Enclave , Bari Jugallie Gomti Nagar,","Gomti Nagar,",Lucknow,Uttar Pradesh,India,0,http://www.goibibo.com/hotels/detail/Lucknow/hn/9114123290289445387/3471687688665427972/na/hq/,Aryan Hotel,Hotel,2.7
"S.N Junction, Punnamada, Alappuzha",Finishing Point Road,Alleppey,Kerala,India,0,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/510480237128143322/na/hq/,Bens Houseboats 2 Bed Room A/c DLX (2),Houseboat,
"31/1, South Tukoganj  Indore",Tukoganj,Indore,Madhya Pradesh,India,4,http://www.goibibo.com/hotels/detail/Indore/hn/6727020267875173073/6756810580382023123/na/hq/,Best Western Plus O2,Hotel,4.5
"77, Jawaharlal Nehru Road, 100, Feet Road, Vadapalani, Chennai - 600 026",Vadapalani,Chennai,Tamil Nadu,India,3,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/1210097564904738199/na/hq/,Aspni Inn,Hotel,3.3
"Ranthambore Road, Sawai Madhopur,",Ranthambhore,Sawai Madhopur,Rajasthan,India,4,http://www.goibibo.com/hotels/detail/Sawai Madhopur/hn/8314560716455433059/5202335270209750702/na/hq/,"Anuraga Palace, Treehouse Palace Hotel",Hotel,4.5
"ASHTAMI RESORT,Meenangadi MEPPRIKUNU",Kalpetta,Wayanad,Kerala,India,0,http://www.goibibo.com/hotels/detail/Wayanad/hn/6194322623629521587/5699201155376762795/na/hq/,ASHTAMI RESORT,Resort,4
"Plot no. 30, Vijayanagaram Colony, Bhelupur, Varanasi, 221010",Bhelupur,Varanasi,Uttar Pradesh,India,1,http://www.goibibo.com/hotels/detail/Varanasi/hn/710870868236923145/1240649033033658088/na/hq/,Azure Guest House,Guest House,
"10/4B, Metha Layout ,Masakalipalayam road,Peelamedu, Hopes",Avinashi Road,Coimbatore,Tamil Nadu,India,0,http://www.goibibo.com/hotels/detail/Coimbatore/hn/3924148632351062483/8297994577200098203/na/hq/,Arul Nakshatra Service Apartment,Service Apartment,
"No 48/1114, E V R Periyar High Road, Park Town, Chennai - 600003, Periamet",Others,Chennai,Tamil Nadu,India,0,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/373266868256453041/na/hq/,BAVA LODGE,Lodge,
"Plot no. 15, 24, 25 and 26, Survey no. 64, Sector-1, Huda Techno enclave, Madhapur, Hyderabad - 500081",Hi-Tech City,Hyderabad,Andhra Pradesh,India,5,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/6389780845707797528/na/hq/,Avasa Hotel,Hotel,4.5
"B- 201 and 301 ,  Jeevan Vijay CHS, Dr Charat Singh Colony, Behind Dragon Fly Hotel, Near Jyoti Dwelling, Chakala, Andheri",Andheri,Mumbai,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Mumbai/hn/4213513766539949483/6667529315256100187/na/hq/,"Arista Service Apartments,Andheri",Service Apartment,
"D-160,Kabir Marg,Bani Park,Near Collectreat Circle",Bani Park,Jaipur,Rajasthan,India,0,http://www.goibibo.com/hotels/detail/Jaipur/hn/4278754392716898526/3247801073453855997/na/hq/,Chit Chat Palace,Hotel,3.9
Calangute Candolim Beach Road Goa 403516 Near Plaintain Leaf Restaurant,Calangute Area,Goa,Goa,India,2,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/3042326202223852165/na/hq/,Calangute Alcove Luxury Apartment,Service Apartment,3.5
"515 E, New Shahupuri, Station road",New Shahupuri,Kolhapur,Maharashtra,India,1,http://www.goibibo.com/hotels/detail/Kolhapur/hn/3931060669256740310/4480290833286201471/na/hq/,Chalukya Deluxe,Lodge,
"Small vagator,orzan road,opp foot ball ground,bardez,goa",Vagator Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/3819484547027007908/na/hq/,Brisa Do Mar,Hotel,4.8
"C-68, Block-C, South City, Part-I, Near Huda City Metro Station, Sector 41, Gurgaon",Sector 41,Gurgaon,Haryana,India,0,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/5551824305683943854/na/hq/,Blooms 1,Guest House,3.8
"Bokhim Village Resort,Aritar lake ,East Sikkim",Bokhim Village,Aritar,Sikkim,India,1,http://www.goibibo.com/hotels/detail/Aritar/hn/7435060644162954334/2763179587330501057/na/hq/,Bokhim Village Resort,Resort,
"Malmaddi Station Road, Court Circle, Opposite horticulture office, Dharwad Ho, Dharwad - 580001","Railway Station Road, Opposite Horticulture Office",Dharwad,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Dharwad/hn/4570281374496643029/8253986634996266174/na/hq/,Brindavan Lodge,Lodge,
"No.65-66,1st floor, Sadguru complex,Opp.IIMB,Bilekahalli,Bannerghatta Main Road",Bannerghatta Road,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/7098575061494955990/na/hq/,Brahma Inn Executive Rooms,Lodge,4.3
"Villa 149, Omaxe Panorama City, 7-8 Km milestone on Alwar Bypass Road,",Aalwar Bypass Road,Bhiwadi,Rajasthan,India,3,http://www.goibibo.com/hotels/detail/Bhiwadi/hn/7188225528769381636/5328820882515281302/na/hq/,Blue Lemon Apartment Hotel,Hotel,4.8
"Chandipur, Balasore - 756025",Chandipur,Baleshwar,Orissa,India,0,http://www.goibibo.com/hotels/detail/Baleshwar/hn/3334163371170104058/2713425354039687430/na/hq/,CHANDIPUR HOTEL,Hotel,
"Panchgani Road, Mahabaleshwar",Panchgani Road,Mahabaleshwar,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Mahabaleshwar/hn/7813632526399525655/6145297831868202933/na/hq/,Breeze Inn Bungalow,Bungalow,
"Casa Grande I Bldg, 4th Floor Flat No.401, Koregaon Park, Pune",Koregaon Park,Pune,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/6380810916634039466/na/hq/,Bluebell Hospitality Services,Service Apartment,5
"B-1, Surya Nagar, Ghaziabad-201011",Others,Ghaziabad,Uttar Pradesh,India,0,http://www.goibibo.com/hotels/detail/Ghaziabad/hn/1930868727827802776/1887548799589691492/na/hq/,Bharat Guest House,Guest House,
"Jaswant Poul, Village Ghodnala, Post Office- Bir, Teh. Baijnath, Distt. Kangra, Himachal Pradesh",Kangra,Baijnath,Himachal Pradesh,India,0,http://www.goibibo.com/hotels/detail/Baijnath/hn/7939986554982909525/3522014678456076450/na/hq/,"Camp Oak View, Bir",Tent,
"Plot No-2,sec-43,Golf Course Road,Gurgaon",Golf Course Road,Gurgaon,Haryana,India,2,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/8427517556139503187/na/hq/,Callista Inn Golf Course Road,Hotel,3.7
"E 77 Seventh Floor, Diamond District, HAL Airport Road",Other,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/3995796004504321820/na/hq/,Chalet Diamond Penthouse,Luxury Yacht,
"#1, Venkitauram, 73-A, Sardar Patel Road, (Near Lemon Tree Hotel) Opp. Raj Bhavan Staff Quarters Gate, Guindy,  Chennai",Guindy,Chennai,Tamil Nadu,India,0,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/3345170488200552974/na/hq/,Chennai Stays (Guindy),Lodge,3.6
"Hotel Complex, Plot 7, Jodhpur Jaisalmer Road, Jaisalmer Rajasthan",Barmer Road,Jaisalmer,Rajasthan,India,5,http://www.goibibo.com/hotels/detail/Jaisalmer/hn/8665923561677193166/2901230185770780191/na/hq/,BRYS Fort,Hotel,4.6
"Address- 329, Village Jharsa,Gurgaon Haryana",Others,Gurgaon,Haryana,India,0,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/7068566537676340771/na/hq/,Citi Hotel &amp; Suites Jharsa,Hotel,
"Chokhi Dhani Palace Hotel, Barmer Road, Jaisalmer 345001",Barmer Road,Jaisalmer,Rajasthan,India,4,http://www.goibibo.com/hotels/detail/Jaisalmer/hn/8665923561677193166/2680112195018082724/na/hq/,Chokhi Dhani - The Palace Hotel,Hotel,3.9
