state,city,name,type,distance from airport,distance from bus stand,distance from railway station,rating,no of rating,best month to visit,famous activities,prefer for friends,prefer for couple,prefer for family with children,prefer for family without children,famous activities with rating,image
Maharashtra,Pune,Shaniwar Wada,Historical Fort,15.2,4.8,2.9,4,950,September/October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Shaniwar_Wada_Pune_Maharashtra.webp
Rajasthan,Udaipur,City Palace,Historical Palace,22.3,6.1,4.5,4.7,1900,September/October/November/December/January/February/March,Sightseeing/Boating/Cultural Shows,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Boating': 4.5, 'Cultural Shows': 3.5}",City_Palace_Udaipur_Rajasthan.webp
Kerala,Thiruvananthapuram,Kovalam Beach,Beach,15.7,3.9,12.1,4.3,1550,September/October/November/December/January/February,Relaxing/Ayurvedic Treatments/Surfing,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Ayurvedic Treatments': 3.5, 'Surfing': 3.5}",Kovalam_Beach_Thiruvananthapuram_Kerala.webp
Goa,Vasco da Gama,Calangute Beach,Beach,5.6,12.5,28.9,3.9,2000,October/November/December/January/February,Water Sports/Nightlife/Shopping,TRUE,TRUE,TRUE,TRUE,"{'Water Sports': 4.7, 'Nightlife': 4.4, 'Shopping': 4.2}",Calangute_Beach_Vasco_da_Gama_Goa.webp
Karnataka,Bengaluru,Bangalore Palace,Historical Palace,35.8,7.2,5.9,4.5,1750,September/October/November/December/January/February,Sightseeing/Photography,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Photography': 4.2}",Bangalore_Palace_Bengaluru_Karnataka.webp
Tamil Nadu,Madurai,Meenakshi Temple,Religious Site,12.5,4.1,2.7,4.8,2200,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Meenakshi_Temple_Madurai_Tamil_Nadu.webp
Uttar Pradesh,Varanasi,Ghats of Varanasi,Religious Site,25.1,8.5,6.3,4.6,1950,October/November/February/March,Spiritual Experience/Boat Rides/Evening Aarti,TRUE,TRUE,TRUE,TRUE,"{'Spiritual Experience': 3.5, 'Boat Rides': 3.5, 'Evening Aarti': 3.5}",Ghats_of_Varanasi_Varanasi_Uttar_Pradesh.webp
Himachal Pradesh,Manali,Solang Valley,Adventure,51.2,15.8,48.7,4.4,1850,April/May/June/October,Adventure Sports/Paragliding/Zorbing,TRUE,TRUE,TRUE,TRUE,"{'Adventure Sports': 4.8, 'Paragliding': 3.5, 'Zorbing': 3.5}",Solang_Valley_Manali_Himachal_Pradesh.webp
Gujarat,Vadodara,Laxmi Vilas Palace,Historical Palace,10.5,3.7,2.1,4.5,1600,October/November/December/January/February,Sightseeing/Art and Architecture,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Art and Architecture': 3.5}",Laxmi_Vilas_Palace_Vadodara_Gujarat.webp
West Bengal,Darjeeling,Tiger Hill,Nature,95.6,3.2,78.9,4.7,1700,March/April/May/September/October/November,Sunrise Viewing/Trekking/Tea Gardens,TRUE,TRUE,TRUE,TRUE,"{'Sunrise Viewing': 3.5, 'Trekking': 4.8, 'Tea Gardens': 3.5}",Tiger_Hill_Darjeeling_West_Bengal.webp
Maharashtra,Nashik,Sula Vineyards,Leisure,28.9,10.4,35.2,4.2,1150,October/November/December/January/February,Wine Tasting/Vineyard Tours,TRUE,TRUE,TRUE,TRUE,"{'Wine Tasting': 3.5, 'Vineyard Tours': 3.5}",Sula_Vineyards_Nashik_Maharashtra.webp
Rajasthan,Jodhpur,Mehrangarh Fort,Historical Fort,8.3,4.9,6.2,4.6,1780,October/November/February/March,Historical Exploration/Museum Visits,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Museum Visits': 4.3}",Mehrangarh_Fort_Jodhpur_Rajasthan.webp
Kerala,Munnar,Tea Plantations,Nature,108.5,25.1,135.7,4.5,1620,September/October/November/December/January/February,Nature Walks/Tea Tasting/Scenic Drives,TRUE,TRUE,TRUE,TRUE,"{'Nature Walks': 3.5, 'Tea Tasting': 3.5, 'Scenic Drives': 3.5}",Tea_Plantations_Munnar_Kerala.webp
Goa,Margao,Palolem Beach,Beach,60.2,18.7,45.9,4.4,1880,October/November/December/January/February,Relaxing/Kayaking/Dolphin Spotting,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Kayaking': 3.5, 'Dolphin Spotting': 3.5}",Palolem_Beach_Margao_Goa.webp
Karnataka,Hampi,Group of Monuments,Historical Site,350.1,12.3,105.6,4.7,2300,October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Group_of_Monuments_Hampi_Karnataka.webp
Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Monument,95.3,15.9,88.7,4.6,2050,October/November/December/January/February/March,Spiritual Experience/Sightseeing,TRUE,TRUE,TRUE,TRUE,"{'Spiritual Experience': 3.5, 'Sightseeing': 4.5}",Vivekananda_Rock_Memorial_Kanyakumari_Tamil_Nadu.webp
Uttar Pradesh,Lucknow,Bara Imambara,Historical Monument,15.8,6.2,4.9,4.3,1500,October/November/February/March,Sightseeing/Historical Exploration,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Historical Exploration': 3.5}",Bara_Imambara_Lucknow_Uttar_Pradesh.webp
Himachal Pradesh,Dharamshala,McLeod Ganj,Hill Station,18.5,2.1,15.4,4.5,1720,March/April/May/June/September/October/November,Cultural Exploration/Trekking/Meditation,TRUE,TRUE,TRUE,TRUE,"{'Cultural Exploration': 3.5, 'Trekking': 4.8, 'Meditation': 3.5}",McLeod_Ganj_Dharamshala_Himachal_Pradesh.webp
Gujarat,Dwarka,Dwarkadhish Temple,Religious Site,125.7,18.3,5.2,4.7,2150,October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Dwarkadhish_Temple_Dwarka_Gujarat.webp
West Bengal,Kolkata,Howrah Bridge,Landmark,22.1,9.5,7.8,4,1280,October/November/February/March,Sightseeing/Photography,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Photography': 4.2}",Howrah_Bridge_Kolkata_West_Bengal.webp
Maharashtra,Aurangabad,Ajanta Caves,Historical Site,100.5,25.8,30.2,4.6,1980,October/November/February/March,Historical Exploration/Art Appreciation,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Art Appreciation': 3.5}",Ajanta_Caves_Aurangabad_Maharashtra.webp
Rajasthan,Pushkar,Pushkar Lake,Religious Site,145.2,10.7,12.5,4.4,1680,October/November/February/March,Religious Activities/Camel Safari,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Camel Safari': 3.5}",Pushkar_Lake_Pushkar_Rajasthan.webp
Kerala,Wayanad,Chembra Peak,Nature,95.8,22.5,85.3,4.3,1530,September/October/November/December/January/February,Trekking/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Scenic Views': 3.5}",Chembra_Peak_Wayanad_Kerala.webp
Goa,Arambol,Arambol Beach,Beach,55.3,15.9,38.7,4.1,1750,October/November/December/January/February,Relaxing/Yoga/Live Music,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Yoga': 3.5, 'Live Music': 3.5}",Arambol_Beach_Arambol_Goa.webp
Karnataka,Coorg,Abbey Falls,Nature,130.7,15.2,115.9,4.4,1800,September/October/November/December/January/February,Nature Walks/Photography,TRUE,TRUE,TRUE,TRUE,"{'Nature Walks': 3.5, 'Photography': 4.2}",Abbey_Falls_Coorg_Karnataka.webp
Tamil Nadu,Ooty,Ooty Lake,Nature,88.9,12.6,82.3,4.2,1450,April/May/June/September/October,Boating/Scenic Views/Gardens,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Scenic Views': 3.5, 'Gardens': 3.5}",Ooty_Lake_Ooty_Tamil_Nadu.webp
Uttar Pradesh,Mathura,Krishna Janmabhoomi Temple,Religious Site,165.2,12.8,5.9,4.7,2000,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Krishna_Janmabhoomi_Temple_Mathura_Uttar_Pradesh.webp
Himachal Pradesh,Dalhousie,Khajjiar,Nature,120.5,8.7,110.2,4.5,1650,April/May/June/September/October,Nature Walks/Scenic Views/Photography,TRUE,TRUE,TRUE,TRUE,"{'Nature Walks': 3.5, 'Scenic Views': 3.5, 'Photography': 4.2}",Khajjiar_Dalhousie_Himachal_Pradesh.webp
Gujarat,Gir,Gir National Park,Wildlife Sanctuary,65.8,20.1,45.7,4.6,1900,January,Wildlife Safari/Bird Watching,TRUE,TRUE,TRUE,TRUE,"{'Nature Walks': 3.5, 'Scenic Views': 3.5, 'Photography': 4.2}",Wildlife_Sanctuary_Gir_National_Park_Gujarat.webp
West Bengal,Sundarbans,Sundarbans National Park,Wildlife Sanctuary,115.2,35.9,85.6,4.3,1550,February/March/October/November,Wildlife Safari/Boat Trips,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Scenic Views': 3.5, 'Gardens': 3.5}",Wildlife_Sanctuary_Sundarbans_National_Park_West_Bengal.webp
Maharashtra,Lonavala,Tiger Point,Nature,75.9,18.3,90.2,4.1,1200,June/July/August/September/October,Scenic Views/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Trekking': 4.8}",Tiger_Point_Lonavala_Maharashtra.webp
Rajasthan,Mount Abu,Nakki Lake,Nature,175.3,12.5,150.9,4.2,1600,March/April/May/September/October,Boating/Shopping/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Shopping': 4.2, 'Scenic Views': 3.5}",Nakki_Lake_Mount_Abu_Rajasthan.webp
Kerala,Thekkady,Periyar National Park,Wildlife Sanctuary,145.7,30.2,160.5,4.4,1700,September/October/November/December/January/February,Wildlife Safari/Elephant Rides/Spice Plantation Tours,TRUE,TRUE,TRUE,TRUE,"{'Wildlife Safari': 4.7, 'Elephant Rides': 3.5, 'Spice Plantation Tours': 3.5}",Periyar_National_Park_Thekkady_Kerala.webp
Goa,Benaulim,Benaulim Beach,Beach,58.9,16.5,42.1,4,1850,October/November/December/January/February,Relaxing/Fishing/Water Sports,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Fishing': 3.5, 'Water Sports': 4.7}",Benaulim_Beach_Benaulim_Goa.webp
Karnataka,Chikmagalur,Mullayanagiri,Nature,250.2,28.7,220.9,4.5,1950,September/October/November/December/January/February,Trekking/Camping/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Camping': 4.6, 'Scenic Views': 3.5}",Mullayanagiri_Chikmagalur_Karnataka.webp
Tamil Nadu,Kodaikanal,Kodaikanal Lake,Nature,120.8,15.9,110.6,4.3,1500,April/May/June/September/October,Boating/Cycling/Nature Walks,TRUE,TRUE,TRUE,TRUE,"{'Boating': 4.5, 'Cycling': 3.5, 'Nature Walks': 3.5}",
Uttar Pradesh,Allahabad,Triveni Sangam,Religious Site,115.6,18.2,10.5,4.6,2050,October/November/February/March,Religious Activities/Boat Rides,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Boat Rides': 3.5}",Triveni_Sangam_Allahabad_Uttar_Pradesh.webp
Himachal Pradesh,Kullu,Great Himalayan National Park,Nature,180.9,22.5,165.3,4.4,1750,April/May/June/September/October,Trekking/Camping/Wildlife Spotting,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Camping': 4.6, 'Wildlife Spotting': 3.5}",Great_Himalayan_National_Park_Kullu_Himachal_Pradesh.webp
Gujarat,Somnath,Somnath Temple,Religious Site,195.3,25.1,5.8,4.7,2200,October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Somnath_Temple_Somnath_Gujarat.webp
West Bengal,Shantiniketan,Shantiniketan,Cultural Site,180.5,15.2,165.9,4.5,1600,October/November/December/January/February,Cultural Exploration/Art and Craft,TRUE,TRUE,TRUE,TRUE,"{'Cultural Exploration': 3.5, 'Art and Craft': 3.5}",Shantiniketan_West_Bengal.webp
Maharashtra,Mahabaleshwar,Arthur's Seat,Nature,120.7,20.3,105.6,4.2,1300,October/November/December/January/February/March,Scenic Views/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Trekking': 4.8}",Arthur's_Seat_Mahabaleshwar_Maharashtra.webp
Rajasthan,Jaisalmer,Jaisalmer Fort,Historical Fort,5.9,3.1,2.5,4.6,1850,October/November/February/March,Historical Exploration/Desert Safari,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Desert Safari': 3.5}",Jaisalmer_Fort_Jaisalmer_Rajasthan.webp
Kerala,Varkala,Varkala Beach,Beach,55.2,12.9,40.7,4.4,1680,September/October/November/December/January/February,Relaxing/Cliffside Views/Ayurvedic Treatments,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Cliffside Views': 3.5, 'Ayurvedic Treatments': 3.5}",Varkala_Beach_Varkala_Kerala.webp
Goa,Anjuna,Anjuna Beach,Beach,48.7,14.5,32.9,4,1720,October/November/December/January/February,Relaxing/Flea Market/Nightlife,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Flea Market': 3.5, 'Nightlife': 4.4}",Anjuna_Beach_Anjuna_Goa.webp
Karnataka,Udupi,Sri Krishna Temple,Religious Site,60.3,8.9,3.2,4.7,2100,September/October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Sri_Krishna_Temple_Udupi_Karnataka.webp
Tamil Nadu,Rameshwaram,Ramanathaswamy Temple,Religious Site,175.9,22.1,2.8,4.5,2050,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Ramanathaswamy_Temple_Rameshwaram_Tamil_Nadu.webp
Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,130.2,10.5,1.9,4.8,2300,October/November/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Ram_Janmabhoomi_Ayodhya_Uttar_Pradesh.webp
Himachal Pradesh,Spiti Valley,Key Monastery,Religious Site,320.6,45.8,280.2,4.6,1950,June/July/August/September/October,Spiritual Experience/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Spiritual Experience': 3.5, 'Trekking': 4.8}",Key_Monastery_Spiti_Valley_Himachal_Pradesh.webp
Gujarat,Rann of Kutch,White Desert,Nature,350.8,60.2,280.5,4.7,2400,October/November/December/January/February,Salt Desert Exploration/Cultural Events,TRUE,TRUE,TRUE,TRUE,"{'Salt Desert Exploration': 3.5, 'Cultural Events': 4.5}",White_Desert_Rann_of_Kutch_Gujarat.webp
West Bengal,Kalimpong,Deolo Hill,Nature,80.9,12.6,65.3,4.3,1550,March/April/May/September/October/November,Scenic Views/Paragliding,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Paragliding': 3.5}",Deolo_Hill_Kalimpong_West_Bengal.webp
Maharashtra,Igatpuri,Vipassana International Academy,Spiritual Center,120.5,30.1,135.2,4.8,1400,October/November/December/January/February,Meditation/Spiritual Learning,FALSE,TRUE,FALSE,TRUE,"{'Meditation': 3.5, 'Spiritual Learning': 3.5}",Vipassana_International_Academy_Igatpuri_Maharashtra.webp
Rajasthan,Bikaner,Junagarh Fort,Historical Fort,15.2,6.9,4.1,4.4,1700,October/November/February/March,Historical Exploration/Museum Visits,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Museum Visits': 4.3}",Junagarh_Fort_Bikaner_Rajasthan.webp
Kerala,Bekal,Bekal Fort,Historical Fort,120.8,18.5,105.9,4.3,1580,September/October/November/December/January/February,Historical Exploration/Beach Visits,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Beach Visits': 3.5}",Bekal_Fort_Bekal_Kerala.webp
Goa,Candolim,Candolim Beach,Beach,35.6,10.2,22.9,4.1,1780,October/November/December/January/February,Relaxing/Water Sports,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Water Sports': 4.7}",Candolim_Beach_Candolim_Goa.webp
Karnataka,Badami,Cave Temples,Historical Site,450.1,15.8,120.6,4.5,2200,October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Cave_Temples_Badami_Karnataka.webp
Tamil Nadu,Kanchipuram,Kailasanathar Temple,Religious Site,75.3,10.9,2.7,4.6,2000,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Kailasanathar_Temple_Kanchipuram_Tamil_Nadu.webp
Uttar Pradesh,Fatehpur Sikri,Fatehpur Sikri Fort,Historical Fort,35.9,12.5,10.8,4.4,1650,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Fatehpur_Sikri_Fort_Fatehpur_Sikri_Uttar_Pradesh.webp
Himachal Pradesh,Kasol,Parvati Valley,Nature,300.2,35.7,250.9,4.5,1800,April/May/June/September/October,Trekking/Camping/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Trekking': 4.8, 'Camping': 4.6, 'Scenic Views': 3.5}",Parvati_Valley_Kasol_Himachal_Pradesh.webp
Gujarat,Modhera,Sun Temple,Historical Site,98.7,15.3,25.1,4.6,1950,October/November/December/January/February,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Sun_Temple_Modhera_Gujarat.webp
West Bengal,Murshidabad,Hazarduari Palace,Historical Palace,220.5,25.9,180.2,4.2,1500,October/November/February/March,Historical Exploration/Sightseeing,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Sightseeing': 4.5}",
Maharashtra,Alibaug,Alibaug Beach,Beach,110.8,20.1,95.6,4,1250,October/November/December/January/February,Relaxing/Fort Visits,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Fort Visits': 3.5}",Alibaug_Beach_Alibaug_Maharashtra.webp
Rajasthan,Bharatpur,Keoladeo National Park,Wildlife Sanctuary,55.6,10.2,8.9,4.5,1750,October/November/December/January/February,Bird Watching/Wildlife Photography,TRUE,TRUE,TRUE,TRUE,"{'Bird Watching': 3.5, 'Wildlife Photography': 3.5}",Keoladeo_National_Park_Bharatpur_Rajasthan.webp
Kerala,Alappuzha,Alleppey Backwaters,Nature,85.9,15.7,4.2,4.6,1650,September/October/November/December/January/February,Houseboat Stays/Backwater Cruises,TRUE,TRUE,TRUE,TRUE,"{'Houseboat Stays': 3.5, 'Backwater Cruises': 3.5}",Alleppey_Backwaters_Alappuzha_Kerala.webp
Goa,Colva,Colva Beach,Beach,22.3,9.8,18.7,3.9,1800,October/November/December/January/February,Relaxing/Water Sports,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Water Sports': 4.7}",Colva_Beach_Colva_Goa.webp
Karnataka,Belur,Chennakesava Temple,Religious Site,220.1,25.3,180.9,4.7,2150,September/October/November/December/January/February,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Chennakesava_Temple_Belur_Karnataka.webp
Tamil Nadu,Chidambaram,Nataraja Temple,Religious Site,225.7,30.2,5.1,4.6,2000,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Nataraja_Temple_Chidambaram_Tamil_Nadu.webp
Uttar Pradesh,Sarnath,Dhamek Stupa,Religious Site,30.5,12.9,8.7,4.5,1900,October/November/February/March,Spiritual Experience/Historical Exploration,TRUE,TRUE,TRUE,TRUE,"{'Spiritual Experience': 3.5, 'Historical Exploration': 3.5}",Dhamek_Stupa_Sarnath_Uttar_Pradesh.webp
Himachal Pradesh,Kasauli,Monkey Point,Nature,65.2,5.8,3.9,4.3,1680,April/May/June/September/October,Scenic Views/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Trekking': 4.8}",Monkey_Point_Kasauli_Himachal_Pradesh.webp
Gujarat,Porbandar,Kirti Mandir,Historical Site,110.9,18.6,5.2,4.4,1980,October/November/December/January/February,Historical Exploration/Sightseeing,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Sightseeing': 4.5}",Kirti_Mandir_Porbandar_Gujarat.webp
West Bengal,Bishnupur,Terracotta Temples,Historical Site,185.3,22.1,160.7,4.3,1550,October/November/February/March,Historical Exploration/Art and Architecture,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Art and Architecture': 3.5}",Terracotta_Temples_Bishnupur_West_Bengal.webp
Maharashtra,Matheran,Charlotte Lake,Nature,105.6,15.2,80.9,4.1,1280,October/November/December/January/February/March,Nature Walks/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Nature Walks': 3.5, 'Scenic Views': 3.5}",
Rajasthan,Bundi,Taragarh Fort,Historical Fort,210.2,12.7,185.6,4.3,1620,October/November/February/March,Historical Exploration/Photography,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Photography': 4.2}",Taragarh_Fort_Bundi_Rajasthan.webp
Kerala,Kumarakom,Vembanad Lake,Nature,75.9,18.3,10.2,4.5,1700,September/October/November/December/January/February,Houseboat Stays/Bird Watching,TRUE,TRUE,TRUE,TRUE,"{'Houseboat Stays': 3.5, 'Bird Watching': 3.5}",Vembanad_Lake_Kumarakom_Kerala.webp
Goa,Vagator,Vagator Beach,Beach,42.5,11.6,28.3,4.2,1750,October/November/December/January/February,Relaxing/Nightlife/Chapora Fort Visit,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Nightlife': 4.4, 'Chapora Fort Visit': 3.5}",Vagator_Beach_Vagator_Goa.webp
Karnataka,Shravanabelagola,Gommateshwara Statue,Religious Site,150.3,20.9,125.7,4.8,2250,October/November/December/January/February,Religious Activities/Historical Significance,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Historical Significance': 3.5}",Gommateshwara_Statue_Shravanabelagola_Karnataka.webp
Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Religious Site,58.9,12.5,1.8,4.7,2100,October/November/December/January/February/March,Religious Activities/Temple Visits,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Temple Visits': 4.3}",Brihadeeswarar_Temple_Thanjavur_Tamil_Nadu.webp
Uttar Pradesh,Chitrakoot,Chitrakoot Dham,Religious Site,180.6,25.2,15.9,4.6,2050,October/November/February/March,Religious Activities/Spiritual Experience,TRUE,TRUE,TRUE,TRUE,"{'Religious Activities': 3.5, 'Spiritual Experience': 3.5}",Chitrakoot_Dham_Chitrakoot_Uttar_Pradesh.webp
Himachal Pradesh,Palampur,Tea Gardens,Nature,70.2,8.9,65.3,4.4,1700,April/May/June/September/October,Tea Garden Tours/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Tea Garden Tours': 3.5, 'Scenic Views': 3.5}",Tea_Gardens_Palampur_Himachal_Pradesh.webp
Gujarat,Bhuj,Aina Mahal,Historical Palace,65.8,12.1,3.7,4.3,1900,October/November/December/January/February,Historical Exploration/Museum Visits,TRUE,TRUE,FALSE,TRUE,"{'Historical Exploration': 3.5, 'Museum Visits': 4.3}",Aina_Mahal_Bhuj_Gujarat.webp
West Bengal,Digha,Digha Beach,Beach,180.9,35.6,150.2,3.9,1450,October/November/December/January/February,Relaxing/Sea Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Sea Food': 3.5}",Digha_Beach_Digha_West_Bengal.webp
Maharashtra,Bhandardara,Wilson Dam,Nature,165.3,28.7,140.9,4.2,1350,June/July/August/September/October,Scenic Views/Trekking,TRUE,TRUE,TRUE,TRUE,"{'Scenic Views': 3.5, 'Trekking': 4.8}",Wilson_Dam_Bhandardara_Maharashtra.webp
